NOME DO ARQUIVO,TAMANHO ORIGINAL (KB),PNG - TAMANHO COMPRIMIDO (KB),COMPRESSAO PNG,JPEG - TAMANHO COMPRIMIDO (KB),COMPRESSAO JPEG,PCA-950 - TAMANHO COMPRIMIDO (KB),COMPRESSAO PCA-950,PCA-975 - TAMANHO COMPRIMIDO (KB),COMPRESSAO PCA-975,PCA-990 - TAMANHO COMPRIMIDO (KB),COMPRESSAO PCA-990
lung-512x512/85e57b7a_1-030.dcm,526.19,95.43,81.86,16.34,96.9,35.61,93.23,76.57,85.45,150.30,71.44
lung-512x512/77b0ddbe_1-40.dcm,526.22,89.87,82.92,15.50,97.05,76.57,85.45,133.92,74.55,224.03,57.43
lung-512x512/54922e5c_1-073.dcm,525.72,83.34,84.15,14.29,97.28,76.57,85.43,133.92,74.53,232.22,55.83
lung-512x512/70197723_1-025.dcm,525.73,64.97,87.64,9.93,98.11,35.61,93.23,68.38,86.99,117.53,77.64
lung-512x512/0007ba6e_1-103.dcm,526.23,94.16,82.11,18.29,96.52,47.90,90.9,84.77,83.89,158.49,69.88
lung-512x512/56dc3084_1-086.dcm,526.22,96.62,81.64,19.98,96.2,72.48,86.23,121.63,76.89,203.55,61.32
lung-512x512/96f11497_1-64.dcm,525.73,97.75,81.41,16.73,96.82,68.38,86.99,113.44,78.42,187.17,64.4
lung-512x512/a7f45389_1-059.dcm,526.23,73.50,86.03,11.50,97.82,39.71,92.45,72.48,86.23,133.92,74.55
lung-512x512/e24b7f48_1-064.dcm,525.72,77.79,85.2,12.82,97.56,76.57,85.43,129.82,75.31,215.84,58.94
lung-512x512/0b6b7da8_1-083.dcm,526.21,85.04,83.84,16.35,96.89,101.15,80.78,154.40,70.66,244.51,53.53
lung-512x512/d732ae01_1-034.dcm,526.21,83.70,84.09,15.71,97.01,52.00,90.12,88.86,83.11,154.40,70.66
lung-512x512/2004bbe4_1-113.dcm,526.23,102.89,80.45,17.46,96.68,35.61,93.23,68.38,87.01,133.92,74.55
lung-512x512/d94da631_1-81.dcm,526.22,94.67,82.01,18.77,96.43,68.38,87.01,113.44,78.44,187.17,64.43
lung-512x512/6d1acec9_1-117.dcm,526.21,85.34,83.78,15.97,96.96,43.81,91.68,80.67,84.67,146.21,72.22
lung-512x512/619fcb99_1-114.dcm,526.23,78.98,84.99,14.39,97.26,60.19,88.56,97.05,81.56,154.40,70.66
lung-512x512/319276e4_1-15.dcm,526.20,87.56,83.36,13.70,97.4,39.71,92.45,80.67,84.67,150.30,71.44
lung-512x512/75b8a9c5_1-061.dcm,526.22,76.87,85.39,15.50,97.06,72.48,86.23,113.44,78.44,178.97,65.99
lung-512x512/f1c4bb6f_1-010.dcm,526.29,87.02,83.47,13.83,97.37,35.61,93.23,76.57,85.45,150.30,71.44
lung-512x512/32441679_1-49.dcm,526.21,93.06,82.32,15.38,97.08,97.05,81.56,162.59,69.1,269.09,48.86
lung-512x512/7aa9b639_1-065.dcm,526.18,82.35,84.35,14.65,97.22,80.67,84.67,146.21,72.21,240.41,54.31
lung-512x512/1a98e6c1_1-063.dcm,525.72,97.31,81.49,18.71,96.44,80.67,84.66,138.01,73.75,228.13,56.61
lung-512x512/0b5b8f20_1-048.dcm,526.22,83.32,84.17,14.60,97.22,105.25,80.0,166.69,68.32,256.80,51.2
lung-512x512/3ccb1155_1-117.dcm,526.21,86.43,83.58,15.63,97.03,27.42,94.79,56.09,89.34,113.44,78.44
lung-512x512/ac086db5_1-067.dcm,526.23,86.29,83.6,14.98,97.15,101.15,80.78,166.69,68.32,273.18,48.09
lung-512x512/a6576c07_1-119.dcm,526.22,92.08,82.5,17.83,96.61,35.61,93.23,64.29,87.78,121.63,76.89
lung-512x512/59c74612_1-026.dcm,526.22,87.52,83.37,17.63,96.65,56.09,89.34,97.05,81.56,170.78,67.55
lung-512x512/532aea4c_1-018.dcm,526.22,70.47,86.61,10.99,97.91,64.29,87.78,113.44,78.44,195.36,62.88
lung-512x512/66aef37e_1-152.dcm,526.23,85.28,83.79,13.88,97.36,47.90,90.9,88.86,83.11,158.49,69.88
lung-512x512/ceeacb8a_1-69.dcm,526.22,94.27,82.09,19.36,96.32,88.86,83.11,138.01,73.77,224.03,57.43
lung-512x512/c033106d_1-095.dcm,525.72,87.18,83.42,12.82,97.56,39.71,92.45,72.48,86.21,142.11,72.97
lung-512x512/8f22f706_1-078.dcm,526.23,90.25,82.85,17.85,96.61,80.67,84.67,138.01,73.77,215.84,58.98
lung-512x512/01f659d6_1-059.dcm,526.22,97.91,81.39,17.88,96.6,52.00,90.12,105.25,80.0,195.36,62.88
lung-512x512/864b9a9d_1-051.dcm,526.22,96.26,81.71,20.39,96.12,56.09,89.34,101.15,80.78,178.97,65.99
lung-512x512/c4b8b0c3_1-22.dcm,526.22,102.28,80.56,22.30,95.76,43.81,91.68,84.77,83.89,162.59,69.1
lung-512x512/c0b09521_1-038.dcm,526.21,87.40,83.39,14.83,97.18,60.19,88.56,109.34,79.22,191.26,63.65
lung-512x512/c528b1a9_1-037.dcm,526.23,71.56,86.4,12.86,97.56,88.86,83.11,146.21,72.22,219.93,58.21
lung-512x512/998ae7e8_1-051.dcm,526.22,89.49,82.99,15.69,97.02,76.57,85.45,133.92,74.55,219.93,58.2
lung-512x512/d6e801de_1-034.dcm,526.21,86.66,83.53,17.01,96.77,60.19,88.56,105.25,80.0,170.78,67.55
lung-512x512/6c437e8a_1-020.dcm,525.71,94.95,81.94,15.48,97.06,47.90,90.89,88.86,83.1,158.49,69.85
lung-512x512/cc74ff32_1-076.dcm,526.22,97.14,81.54,19.65,96.27,72.48,86.23,121.63,76.89,207.65,60.54
