NOME DO ARQUIVO,TAMANHO ORIGINAL (KB),PNG - TAMANHO COMPRIMIDO (KB),COMPRESSAO PNG,JPEG - TAMANHO COMPRIMIDO (KB),COMPRESSAO JPEG,PCA-950 - TAMANHO COMPRIMIDO (KB),COMPRESSAO PCA-950,PCA-975 - TAMANHO COMPRIMIDO (KB),COMPRESSAO PCA-975,PCA-990 - TAMANHO COMPRIMIDO (KB),COMPRESSAO PCA-990,MSE PNG,PSNR PNG,MSE JPEG,PSNR JPEG,MSE PCA-950,PSNR PCA-950,MSE PCA-975,PSNR PCA-975,MSE PCA-990,PSNR PCA-990
lung-512x512/09607d2f_1-111.dcm,526.2,69.44,86.8,10.54,98,27.42,94.79,52,90.12,113.44,78.44,0,inf,1.34,46.86,14.2,36.61,11.13,37.67,7.48,39.39
lung-512x512/424ef11d_1-092.dcm,526.2,92.64,82.4,17.2,96.73,23.33,95.57,56.09,89.34,121.63,76.89,0,inf,2.9,43.51,26.62,33.88,18.25,35.52,12.03,37.33
lung-512x512/6f8b6e2d_1-084.dcm,526.19,84.31,83.98,14.99,97.15,84.77,83.89,142.11,72.99,232.22,55.87,0,inf,2.47,44.2,17.35,35.74,12.59,37.13,7.26,39.52
lung-512x512/19ebacb6_1-086.dcm,526.22,95.12,81.92,20.4,96.12,97.05,81.56,158.49,69.88,252.7,51.98,0,inf,2.91,43.49,27.43,33.75,20.98,34.91,11.68,37.46
lung-512x512/3906e030_1-134.dcm,526.21,86.49,83.56,15.45,97.06,47.9,90.9,80.67,84.67,138.01,73.77,0,inf,2.26,44.59,19.92,35.14,15.02,36.36,9.67,38.28
lung-512x512/ae956083_1-042.dcm,525.73,92.93,82.32,17.28,96.71,72.48,86.21,117.53,77.64,191.26,63.62,0,inf,2.64,43.91,29.18,33.48,22.88,34.54,13.7,36.76
lung-512x512/e3139275_1-042.dcm,525.73,98.77,81.21,17.33,96.7,60.19,88.55,109.34,79.2,187.17,64.4,0,inf,3.57,42.6,26.82,33.85,19.99,35.12,12.14,37.29
lung-512x512/de0e7d56_1-044.dcm,526.17,86.55,83.55,15.29,97.09,76.57,85.45,138.01,73.77,236.32,55.09,0,inf,2.67,43.87,20.52,35.01,15.62,36.19,8.87,38.65
lung-512x512/7331faeb_1-83.dcm,526.19,99.06,81.17,16.24,96.91,56.09,89.34,101.15,80.78,187.17,64.43,0,inf,3.86,42.26,23.63,34.4,18.39,35.48,11.61,37.48
lung-512x512/0e91a74e_1-022.dcm,525.72,83.65,84.09,12.15,97.69,35.61,93.23,68.38,86.99,129.82,75.31,0,inf,2.1,44.91,20.63,34.99,14.59,36.49,9.28,38.46
